Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
Ventas,"$3,574 ","$1,356.50 ","$23,955 ",493,Financials,Real estate,Chicago,IL
ScanSource,"$3,568 ",$69.20 ,"$1,718 ","2,000",Wholesalers,Wholesalers: Electronics and Office Equipment,Greenville,SC
Pinnacle West Capital,"$3,565 ",$488.50 ,"$17,019 ","6,292",Energy,Utilities: Gas and Electric,Phoenix,AZ
Scripps Networks Interactive,"$3,562 ",$623.90 ,"$6,522 ","3,600",Media,Entertainment,Knoxville,TN
Alexion Pharmaceuticals,"$3,551 ",$443.30 ,"$13,583 ","2,525",Health Care,Pharmaceuticals,New Haven,CT
Pitney Bowes,"$3,550 ",$261.30 ,"$6,679 ","14,700",Technology,"Computers, Office Equipment",Stamford,CT
CIT Group,"$3,545 ",$468.20 ,"$49,279 ","4,167",Financials,Commercial Banks,New York,NY
Country Financial,"$3,542 ",$187.30 ,"$14,664 ","3,834",Financials,Insurance: Property and Casualty (Mutual),Bloomington,IL
CUNA Mutual Group,"$3,541 ",$303.20 ,"$20,595 ","3,300",Financials,"Insurance: Life, Health (stock)",Madison,WI
Triumph Group,"$3,533 ",($43.00),"$4,415 ","14,309",Aerospace &  Defense,Aerospace and Defense,Berwyn,PA
TransDigm Group,"$3,529 ",$596.90 ,"$9,976 ","9,200",Aerospace &  Defense,Aerospace and Defense,Cleveland,OH
Allegheny Technologies,"$3,525 ",($91.90),"$5,185 ","8,600",Materials,Metals,Pittsburgh,PA
Resolute Forest Products,"$3,513 ",($84.00),"$4,147 ","7,700",Materials,Forest and Paper Products,Catawba,SC
Acuity Brands,"$3,505 ",$321.70 ,"$2,900 ","12,500",Industrials,"Electronics, Electrical Equip.",Atlanta,GA
Abercrombie & Fitch,"$3,493 ",$7.10 ,"$2,326 ","22,500",Retailing,Specialty Retailers: Apparel,New Albany,OH
KLA-Tencor,"$3,480 ",$926.10 ,"$5,532 ","5,990",Technology,Semiconductors and Other Electronic Components,Milpitas,CA
Weis Markets,"$3,467 ",$98.40 ,"$1,442 ","23,000",Food &  Drug Stores,Food and Drug Stores,Sunbury,PA
Puget Energy,"$3,460 ",$175.20 ,"$13,691 ","3,140",Energy,Utilities: Gas and Electric,Bellevue,WA
Mednax,"$3,458 ",$320.40 ,"$5,867 ","14,000",Health Care,Health Care: Pharmacy and Other Services,Fort Lauderdale,FL
Kar Auction Services,"$3,458 ",$362.00 ,"$6,984 ","15,488",Wholesalers,Wholesalers: Diversified,Carmel,IN
