Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
Chesapeake Energy,"$9,496 ",$949.00 ,"$12,425 ","3,200",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK
Mohawk Industries,"$9,491 ",$971.60 ,"$12,095 ","38,800",Household Products,"Home Equipment, Furnishings",Calhoun,GA
Quanta Services,"$9,467 ",$315.00 ,"$6,480 ","32,800",Engineering &  Construction,"Engineering, Construction",Houston,TX
Advance Auto Parts,"$9,374 ",$475.50 ,"$8,482 ","55,500",Retailing,Specialty Retailers: Other,Roanoke,VA
Owens & Minor,"$9,318 ",$72.80 ,"$3,376 ","8,600",Wholesalers,Wholesalers: Health Care,Mechanicsville,VA
United Natural Foods,"$9,275 ",$130.20 ,"$2,887 ","9,700",Wholesalers,Wholesalers: Food and Grocery,Providence,RI
Tenneco,"$9,274 ",$207.00 ,"$4,842 ","32,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Lake Forest,IL
Conagra Brands,"$9,235 ",$639.30 ,"$10,096 ","12,600","Food, Beverages &  Tobacco",Food Consumer Products,Chicago,IL
GameStop,"$9,225 ",$34.70 ,"$5,042 ","39,500",Retailing,Specialty Retailers: Other,Grapevine,TX
Hormel Foods,"$9,168 ",$846.70 ,"$6,976 ","20,200","Food, Beverages &  Tobacco",Food Consumer Products,Austin,MN
Hilton Worldwide Holdings,"$9,140 ","$1,259.00 ","$14,308 ","163,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",McLean,VA
Frontier Communications,"$9,128 ","($1,804.00)","$24,884 ","22,736",Telecommunications,Telecommunications,Norwalk,CT
Fidelity National Information Services,"$9,123 ","$1,319.00 ","$24,517 ","53,000",Business Services,Financial Data Services,Jacksonville,FL
Public Service Enterprise Group,"$9,084 ","$1,574.00 ","$42,716 ","12,945",Energy,Utilities: Gas and Electric,Newark,NJ
Boston Scientific,"$9,048 ",$104.00 ,"$19,042 ","29,000",Health Care,Medical Products and Equipment,Marlboro,MA
OReilly Automotive,"$8,978 ","$1,133.80 ","$7,572 ","60,365",Retailing,Specialty Retailers: Other,Springfield,MO
Charles Schwab,"$8,960 ","$2,354.00 ","$243,274 ","17,600",Financials,Securities,SF,CA
Global Partners,"$8,921 ",$58.80 ,"$2,320 ","2,000",Wholesalers,Wholesalers: Diversified,Waltham,MA
PVH,"$8,915 ",$537.80 ,"$11,886 ","28,050",Apparel,Apparel,New York,NY
Avis Budget Group,"$8,848 ",$361.00 ,"$17,699 ","26,300",Retailing,"Automotive Retailing, Services",Parsippany-Troy Hills,NJ
Targa Resources,"$8,815 ",$54.00 ,"$14,389 ","2,130",Energy,Pipelines,Houston,TX
Hertz Global Holdings,"$8,803 ",$327.00 ,"$20,058 ","37,000",Retailing,"Automotive Retailing, Services",Estero,FL
Calpine,"$8,752 ",($339.00),"$16,453 ","2,290",Energy,Energy,Houston,TX
Mutual of Omaha Insurance,"$8,732 ",$862.60 ,"$42,429 ","5,896",Financials,"Insurance: Life, Health (stock)",Omaha,NE
Crown Holdings,"$8,698 ",$323.00 ,"$10,663 ","24,342",Materials,"Packaging, Containers",Philadelphia,PA
Peter Kiewit Sons,"$8,678 ",$371.00 ,"$5,710 ","22,000",Engineering &  Construction,"Engineering, Construction",Omaha,NE
Dicks Sporting Goods,"$8,591 ",$323.40 ,"$4,204 ","30,300",Retailing,Specialty Retailers: Other,Coraopolis,PA
PulteGroup,"$8,573 ",$447.20 ,"$9,687 ","4,810",Engineering &  Construction,Homebuilders,Atlanta,GA
Navistar International,"$8,570 ",$30.00 ,"$6,135 ","11,400",Industrials,Construction and Farm Machinery,Lisle,IL
Thrivent Financial for Lutherans,"$8,528 ",$558.40 ,"$95,001 ","3,622",Financials,"Insurance: Life, Health (Mutual)",Minneapolis,MN
DCP Midstream,"$8,462 ",$229.00 ,"$13,878 ","2,650",Energy,Pipelines,Denver,CO
Air Products & Chemicals,"$8,442 ","$3,000.40 ","$18,467 ","15,150",Chemicals,Chemicals,Allentown,PA
Veritiv,"$8,365 ",($13.30),"$2,708 ","8,900",Wholesalers,Wholesalers: Diversified,Atlanta,GA
AGCO,"$8,307 ",$186.40 ,"$7,972 ","20,462",Industrials,Construction and Farm Machinery,Duluth,GA
Genworth Financial,"$8,295 ",$817.00 ,"$105,297 ","3,500",Financials,"Insurance: Life, Health (stock)",Richmond,VA
Univar,"$8,254 ",$119.80 ,"$5,733 ","8,600",Wholesalers,Wholesalers: Diversified,Downers Grove,IL
News Corp.,"$8,139 ",($738.00),"$14,552 ","26,000",Media,"Publishing, Printing",New York,NY
SpartanNash,"$8,128 ",($52.80),"$2,056 ","11,950",Wholesalers,Wholesalers: Food and Grocery,Byron Center,MI
Westlake Chemical,"$8,041 ","$1,304.00 ","$12,076 ","8,799",Chemicals,Chemicals,Houston,TX
Williams,"$8,031 ","$2,174.00 ","$46,352 ","5,425",Energy,Energy,Tulsa,OK
Lam Research,"$8,014 ","$1,697.80 ","$12,123 ","9,400",Technology,Semiconductors and Other Electronic Components,Fremont,CA
Alaska Air Group,"$7,933 ","$1,034.00 ","$10,740 ","23,156",Transportation,Airlines,Seattle,WA
Jones Lang LaSalle,"$7,932 ",$254.20 ,"$8,015 ","81,900",Financials,Real estate,Chicago,IL
Anixter International,"$7,927 ",$109.00 ,"$4,252 ","8,900",Wholesalers,Wholesalers: Electronics and Office Equipment,Glenview,IL
Campbell Soup,"$7,890 ",$887.00 ,"$7,726 ","18,000","Food, Beverages &  Tobacco",Food Consumer Products,Camden,NJ
Interpublic Group,"$7,882 ",$579.00 ,"$12,695 ","50,200",Business Services,"Advertising, marketing",New York,NY
Dover,"$7,830 ",$811.70 ,"$10,658 ","29,000",Industrials,Industrial Machinery,Downers Grove,IL
Zimmer Biomet Holdings,"$7,824 ","$1,813.80 ","$25,965 ","18,200",Health Care,Medical Products and Equipment,Warsaw,IN
Dean Foods,"$7,795 ",$61.60 ,"$2,504 ","16,000","Food, Beverages &  Tobacco",Food Consumer Products,Dallas,TX
Foot Locker,"$7,782 ",$284.00 ,"$3,961 ","32,175",Retailing,Specialty Retailers: Apparel,New York,NY
Eversource Energy,"$7,752 ",$988.00 ,"$36,220 ","8,084",Energy,Utilities: Gas and Electric,Springfield,MA
Alliance Data Systems,"$7,719 ",$788.70 ,"$30,685 ","20,000",Business Services,Financial Data Services,Plano,TX
Fifth Third Bancorp,"$7,713 ","$2,194.00 ","$142,193 ","18,125",Financials,Commercial Banks,Cincinnati,OH
Quest Diagnostics,"$7,709 ",$772.00 ,"$10,503 ","45,000",Health Care,Health Care: Pharmacy and Other Services,Secaucus,NJ
EMCOR Group,"$7,688 ",$227.20 ,"$3,966 ","32,000",Engineering &  Construction,"Engineering, Construction",Norwalk,CT
W.R. Berkley,"$7,685 ",$549.10 ,"$24,300 ","7,722",Financials,Insurance: Property and Casualty (Stock),Greenwich,CT
WESCO International,"$7,679 ",$163.50 ,"$4,736 ","9,100",Wholesalers,Wholesalers: Diversified,Pittsburgh,PA
Coty,"$7,650 ",($422.20),"$22,548 ","22,000",Household Products,Household and Personal Products,New York,NY
WEC Energy Group,"$7,649 ","$1,203.70 ","$31,591 ","8,129",Energy,Utilities: Gas and Electric,Milwaukee,WI
Masco,"$7,644 ",$533.00 ,"$5,488 ","26,000",Household Products,"Home Equipment, Furnishings",Livonia,MI
DXC Technology,"$7,607 ",($123.00),"$8,663 ","60,000",Technology,Information Technology Services,Tysons,VA
Auto-Owners Insurance,"$7,604 ",$645.70 ,"$23,694 ","5,227",Financials,Insurance: Property and Casualty (Mutual),Lansing,MI
Jones Financial (Edward Jones),"$7,597 ",$872.00 ,"$17,176 ",45000,Financials,Securities,Des Peres,MO
Liberty Media,"$7,594 ","$1,354.00 ","$41,996 ","4,393",Media,Entertainment,Englewood,CO
Erie Insurance Group,"$7,535 ",$857.50 ,"$20,670 ","5,260",Financials,Insurance: Property and Casualty (Mutual),Erie,PA
Hershey,"$7,515 ",$783.00 ,"$5,554 ","16,135","Food, Beverages &  Tobacco",Food Consumer Products,Hershey,PA
PPL,"$7,447 ","$1,128.00 ","$41,479 ","12,512",Energy,Utilities: Gas and Electric,Allentown,PA
Huntington Ingalls Industries,"$7,441 ",$479.00 ,"$6,374 ","38,000",Aerospace &  Defense,Aerospace and Defense,Newport News,VA
Mosaic,"$7,409 ",($107.20),"$18,633 ","8,500",Chemicals,Chemicals,Plymouth,MN
J.M. Smucker,"$7,392 ",$592.30 ,"$15,640 ","7,140","Food, Beverages &  Tobacco",Food Consumer Products,Orrville,OH
Delek US Holdings,"$7,350 ",$288.80 ,"$5,935 ","3,941",Energy,Petroleum Refining,Brentwood,TN
Newmont Mining,"$7,348 ",($98.00),"$20,563 ","12,569",Energy,"Mining, Crude-Oil Production",Greenwood Village,CO
Constellation Brands,"$7,332 ","$1,535.10 ","$18,602 ","8,700","Food, Beverages &  Tobacco",Beverages,Victor,NY
Ryder System,"$7,330 ",$790.60 ,"$11,452 ","36,100",Transportation,"Trucking, Truck Leasing",Miami,FL
National Oilwell Varco,"$7,304 ",($237.00),"$20,206 ","31,605",Energy,"Oil and Gas Equipment, Services",Houston,TX
Adobe Systems,"$7,302 ","$1,694.00 ","$14,536 ","17,973",Technology,Computer Software,San Jose,CA
LifePoint Health,"$7,263 ",$102.40 ,"$6,286 ","42,000",Health Care,Health Care: Medical Facilities,Brentwood,TN
Tractor Supply,"$7,256 ",$422.60 ,"$2,869 ","21,000",Retailing,Specialty Retailers: Other,Brentwood,TN
Thor Industries,"$7,247 ",$374.30 ,"$2,558 ","17,800",Motor Vehicles &  Parts,Motor Vehicles and Parts,Elkhart,IN
Dana,"$7,209 ",$111.00 ,"$5,644 ","30,100",Motor Vehicles &  Parts,Motor Vehicles and Parts,Maumee,OH
Weyerhaeuser,"$7,196 ",$582.00 ,"$18,059 ","9,300",Materials,Forest and Paper Products,Seattle,WA
J.B. Hunt Transport Services,"$7,190 ",$686.30 ,"$4,465 ","24,681",Transportation,"Trucking, Truck Leasing",Lowell,AR
Darden Restaurants,"$7,170 ",$479.10 ,"$5,504 ","178,729","Hotels, Restaurants &  Leisure",Food Services,Orlando,FL
Yum China Holdings,"$7,144 ",$403.00 ,"$4,263 ","450,000","Hotels, Restaurants &  Leisure",Food Services,Plano,TX
Blackstone Group,"$7,119 ","$1,470.80 ","$34,429 ","2,360",Financials,Diversified Financials,New York,NY
Berry Global Group,"$7,095 ",$340.00 ,"$8,476 ","23,000",Materials,"Packaging, Containers",Evansville,IN
Builders FirstSource,"$7,034 ",$38.80 ,"$3,006 ","15,000",Materials,"Building Materials, Glass",Dallas,TX
Activision Blizzard,"$7,017 ",$273.00 ,"$18,668 ","9,800",Technology,Entertainment,Santa Monica,CA
JetBlue Airways,"$7,015 ","$1,147.00 ","$9,781 ","17,424",Transportation,Airlines,,NY
Amphenol,"$7,011 ",$650.50 ,"$10,004 ","70,000",Technology,Network and Other Communications Equipment,Wallingford,CT
A-Mark Precious Metals,"$6,990 ",$7.10 ,$479 ,126,Materials,Miscellaneous,El Segundo,CA
Spirit AeroSystems Holdings,"$6,983 ",$354.90 ,"$5,268 ","15,500",Aerospace &  Defense,Aerospace and Defense,Wichita,KS
R.R. Donnelley & Sons,"$6,940 ",($34.40),"$3,905 ","42,700",Media,"Publishing, Printing",Chicago,IL
Harris,"$6,939 ",$553.00 ,"$10,090 ","17,000",Aerospace &  Defense,Aerospace and Defense,Melbourne,FL
Expeditors Intl. of Washington,"$6,921 ",$489.30 ,"$3,117 ","16,500",Transportation,Transportation and Logistics,Seattle,WA
Discovery,"$6,873 ",($337.00),"$22,555 ","7,000",Media,Entertainment,Silver Spring,MD
Owens-Illinois,"$6,869 ",$180.00 ,"$9,756 ","26,500",Materials,"Packaging, Containers",Perrysburg,OH
Sanmina,"$6,869 ",$138.80 ,"$3,847 ","41,250",Technology,Semiconductors and Other Electronic Components,San Jose,CA
KeyCorp,"$6,868 ","$1,296.00 ","$137,698 ","18,415",Financials,Commercial Banks,Cleveland,OH
American Financial Group,"$6,865 ",$475.00 ,"$60,658 ","7,600",Financials,Insurance: Property and Casualty (Stock),Cincinnati,OH
Oshkosh,"$6,830 ",$285.60 ,"$5,099 ","14,000",Industrials,Construction and Farm Machinery,Oshkosh,WI
Rockwell Collins,"$6,822 ",$705.00 ,"$17,997 ","29,000",Aerospace &  Defense,Aerospace and Defense,Cedar Rapids,IA
Kindred Healthcare,"$6,768 ",($698.40),"$5,233 ","64,200",Health Care,Health Care: Medical Facilities,Louisville,KY
Insight Enterprises,"$6,704 ",$90.70 ,"$2,686 ","6,697",Technology,Information Technology Services,Tempe,AZ
Dr Pepper Snapple Group,"$6,690 ","$1,076.00 ","$10,022 ","21,000","Food, Beverages &  Tobacco",Beverages,Plano,TX
American Tower,"$6,664 ","$1,238.90 ","$33,214 ","4,752",Financials,Real estate,Boston,MA
Fortive,"$6,656 ","$1,044.50 ","$10,501 ","26,000",Industrials,Industrial Machinery,Everett,WA
Ralph Lauren,"$6,653 ",($99.30),"$5,652 ","18,250",Apparel,Apparel,New York,NY
HRG Group,"$6,650 ",$106.00 ,"$35,850 ","17,113",Household Products,Household and Personal Products,New York,NY
Ascena Retail Group,"$6,650 ","($1,067.30)","$3,872 ","40,000",Retailing,Specialty Retailers: Apparel,Mahwah,NJ
United Rentals,"$6,641 ","$1,346.00 ","$15,030 ","14,800",Business Services,Miscellaneous,Stamford,CT
Caseys General Stores,"$6,641 ",$177.50 ,"$3,020 ","25,463",Retailing,Specialty Retailers: Other,Ankeny,IA
Graybar Electric,"$6,631 ",$71.60 ,"$2,261 ","8,500",Wholesalers,Wholesalers: Diversified,St. Louis,MO
Avery Dennison,"$6,614 ",$281.80 ,"$5,137 ","30,000",Materials,"Packaging, Containers",Glendale,CA
MasTec,"$6,607 ",$347.20 ,"$4,067 ","17,300",Engineering &  Construction,"Engineering, Construction",Coral Gables,FL
CMS Energy,"$6,583 ",$460.00 ,"$23,050 ","7,887",Energy,Utilities: Gas and Electric,Jackson,MI
HD Supply Holdings,"$6,534 ",$970.00 ,"$4,318 ","11,000",Wholesalers,Wholesalers: Diversified,Atlanta,GA
Raymond James Financial,"$6,525 ",$636.20 ,"$34,884 ","12,700",Financials,Securities,St. Petersburg,FL
NCR,"$6,516 ",$232.00 ,"$7,654 ","34,000",Technology,"Computers, Office Equipment",Atlanta,GA
Hanesbrands,"$6,478 ",$61.90 ,"$6,895 ","67,200",Apparel,Apparel,Winston-Salem,NC
Asbury Automotive Group,"$6,457 ",$139.10 ,"$2,357 ","8,000",Retailing,"Automotive Retailing, Services",Duluth,GA
Citizens Financial Group,"$6,454 ","$1,652.00 ","$152,336 ","17,594",Financials,Commercial Banks,Providence,RI
Packaging Corp. of America,"$6,445 ",$668.60 ,"$6,198 ","14,600",Materials,"Packaging, Containers",Lake Forest,IL
Alleghany,"$6,425 ",$90.10 ,"$25,384 ","4,402",Financials,Insurance: Property and Casualty (Stock),New York,NY
Apache,"$6,423 ","$1,304.00 ","$21,922 ","3,356",Energy,"Mining, Crude-Oil Production",Houston,TX
Dillards,"$6,423 ",$221.30 ,"$3,673 ","31,400",Retailing,General Merchandisers,Little Rock,AR
Assurant,"$6,415 ",$519.60 ,"$31,843 ","14,175",Financials,Insurance: Property and Casualty (Stock),New York,NY
Franklin Resources,"$6,392 ","$1,696.70 ","$17,534 ","9,386",Financials,Securities,San Mateo,CA
Owens Corning,"$6,384 ",$289.00 ,"$8,632 ","17,000",Materials,"Building Materials, Glass",Toledo,OH
Motorola Solutions,"$6,380 ",($155.00),"$8,208 ","15,000",Technology,Network and Other Communications Equipment,Chicago,IL
NVR,"$6,322 ",$537.50 ,"$2,989 ","5,200",Engineering &  Construction,Homebuilders,Reston,VA
Rockwell Automation,"$6,311 ",$825.70 ,"$7,162 ","22,000",Industrials,"Electronics, Electrical Equip.",Milwaukee,WI
TreeHouse Foods,"$6,307 ",($286.20),"$5,779 ","13,489","Food, Beverages &  Tobacco",Food Consumer Products,Oak Brook,IL
Wynn Resorts,"$6,306 ",$747.20 ,"$12,682 ","25,200","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
Olin,"$6,268 ",$549.50 ,"$9,218 ","6,400",Chemicals,Chemicals,Clayton,MO
American Axle & Manufacturing,"$6,266 ",$337.10 ,"$7,883 ","25,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI
Old Republic International,"$6,263 ",$560.50 ,"$19,404 ","8,700",Financials,Insurance: Property and Casualty (Stock),Chicago,IL
Chemours,"$6,183 ",$746.00 ,"$7,293 ","7,000",Chemicals,Chemicals,Wilmington,DE
iHeartMedia,"$6,178 ",($704.40),"$12,257 ","18,700",Media,Entertainment,San Antonio,TX
Ameren,"$6,177 ",$523.00 ,"$25,945 ","8,615",Energy,Utilities: Gas and Electric,St. Louis,MO
Arthur J. Gallagher,"$6,160 ",$463.10 ,"$12,897 ","26,783",Financials,Diversified Financials,Rolling Meadows,IL
Celanese,"$6,140 ",$843.00 ,"$9,538 ","7,592",Chemicals,Chemicals,Irving,TX
Sealed Air,"$6,131 ",$814.90 ,"$5,280 ","15,000",Materials,"Packaging, Containers",Charlotte,NC
UGI,"$6,121 ",$436.60 ,"$11,582 ","13,000",Energy,Energy,King of Prussia,PA
Realogy Holdings,"$6,114 ",$431.00 ,"$7,337 ","11,800",Financials,Real estate,Madison,NJ
Burlington Stores,"$6,110 ",$384.90 ,"$2,813 ","40,000",Retailing,Specialty Retailers: Apparel,Burlington,NJ
Regions Financial,"$6,093 ","$1,263.00 ","$124,294 ","21,714",Financials,Commercial Banks,Birmingham,AL
AK Steel Holding,"$6,081 ",$6.20 ,"$4,296 ","9,200",Materials,Metals,Beckett Ridge,OH
Securian Financial Group,"$6,067 ",$418.90 ,"$51,232 ","5,000",Financials,"Insurance: Life, Health (stock)",St Paul,MN
S& P Global,"$6,063 ","$1,496.00 ","$9,425 ","20,400",Business Services,Financial Data Services,New York,NY
Markel,"$6,062 ",$395.30 ,"$32,805 ","15,600",Financials,Insurance: Property and Casualty (Stock),Glen Allen,VA
TravelCenters of America,"$6,052 ",$9.30 ,"$1,618 ","19,611",Retailing,Specialty Retailers: Other,Westlake,OH
Conduent,"$6,022 ",$181.00 ,"$7,548 ","90,000",Business Services,Diversified Outsourcing Services,Florham Park,NJ
M& T Bank Corp.,"$6,019 ","$1,408.30 ","$118,594 ","16,354",Financials,Commercial Banks,Buffalo,NY
Clorox,"$5,973 ",$701.00 ,"$4,573 ","8,100",Household Products,Household and Personal Products,Oakland,CA
AmTrust Financial Services,"$5,959 ",($348.90),"$25,219 ","9,300",Financials,Insurance: Property and Casualty (Stock),New York,NY
KKR,"$5,930 ","$1,018.30 ","$45,835 ","1,184",Financials,Securities,New York,NY
Ulta Beauty,"$5,885 ",$555.20 ,"$2,909 ","24,200",Retailing,Specialty Retailers: Other,Bolingbrook,IL
Yum Brands,"$5,878 ","$1,340.00 ","$5,311 ","60,000","Hotels, Restaurants &  Leisure",Food Services,Louisville,KY
Regeneron Pharmaceuticals,"$5,872 ","$1,198.50 ","$8,764 ","6,200",Health Care,Pharmaceuticals,Tarrytown,NY
Windstream Holdings,"$5,853 ","($2,116.60)","$11,084 ","12,979",Telecommunications,Telecommunications,Little Rock,AR
Magellan Health,"$5,838 ",$110.20 ,"$2,957 ","10,700",Health Care,Health Care: Insurance and Managed Care,Scottsdale,AZ
Western & Southern Financial,"$5,836 ",$310.40 ,"$46,395 ","2,226",Financials,"Insurance: Life, Health (Mutual)",Cincinnati,OH
Intercontinental Exchange,"$5,834 ","$2,514.00 ","$78,264 ","4,952",Financials,Securities,Atlanta,GA
Ingredion,"$5,832 ",$519.00 ,"$6,080 ","11,000","Food, Beverages &  Tobacco",Food Production,Westchester,IL
Wyndham Destinations,"$5,821 ",$871.00 ,"$10,403 ","39,200","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Parsippany-Troy Hills,NJ
Toll Brothers,"$5,815 ",$535.50 ,"$9,445 ","4,500",Engineering &  Construction,Homebuilders,Horsham,PA
Seaboard,"$5,809 ",$247.00 ,"$5,161 ","11,800","Food, Beverages &  Tobacco",Food Production,Merriam,KS
Booz Allen Hamilton,"$5,804 ",$252.50 ,"$3,373 ","23,300",Technology,Information Technology Services,McLean,VA
First American Financial,"$5,772 ",$423.00 ,"$9,573 ","18,705",Financials,Insurance: Property and Casualty (Stock),Santa Ana,CA
Cincinnati Financial,"$5,732 ","$1,045.00 ","$21,843 ","4,925",Financials,Insurance: Property and Casualty (Stock),Fairfield,OH
Avon Products,"$5,716 ",$22.00 ,"$3,698 ","25,000",Household Products,Household and Personal Products,Rye,NY
Northern Trust,"$5,716 ","$1,199.00 ","$138,591 ","18,100",Financials,Commercial Banks,Chicago,IL
Fiserv,"$5,696 ","$1,246.00 ","$10,289 ","24,000",Business Services,Financial Data Services,Brookfield,WI
Harley-Davidson,"$5,647 ",$521.80 ,"$9,973 ","5,800",Transportation,Transportation Equipment,Milwaukee,WI
Cheniere Energy,"$5,601 ",($393.00),"$27,906 ","1,230",Energy,Energy,Houston,TX
Patterson,"$5,593 ",$170.90 ,"$3,508 ","7,500",Wholesalers,Wholesalers: Health Care,St Paul,MN
Peabody Energy,"$5,579 ",-,"$8,181 ","7,100",Energy,"Mining, Crude-Oil Production",St. Louis,MO
ON Semiconductor,"$5,543 ",$810.70 ,"$7,195 ","34,000",Technology,Semiconductors and Other Electronic Components,Phoenix,AZ
Simon Property Group,"$5,539 ","$1,948.00 ","$32,258 ","4,150",Financials,Real estate,Indianapolis,IN
Western Union,"$5,524 ",($557.10),"$9,231 ","11,500",Business Services,Financial Data Services,Englewood,CO
NetApp,"$5,519 ",$509.00 ,"$9,493 ","10,100",Technology,"Computers, Office Equipment",Sunnyvale,CA
Polaris Industries,"$5,505 ",$172.50 ,"$3,090 ","11,000",Transportation,Transportation Equipment,Medina,MN
Pioneer Natural Resources,"$5,455 ",$833.00 ,"$17,003 ","3,836",Energy,"Mining, Crude-Oil Production",Irving,TX
ABM Industries,"$5,454 ",$3.80 ,"$3,813 ","140,000",Business Services,Diversified Outsourcing Services,New York,NY
Vistra Energy,"$5,430 ",($254.00),"$14,600 ","4,150",Energy,Energy,Irving,TX
Cintas,"$5,429 ",$480.70 ,"$6,844 ","42,000",Business Services,Diversified Outsourcing Services,Cincinnati,OH
Hess,"$5,405 ","($4,074.00)","$23,112 ","2,075",Energy,"Mining, Crude-Oil Production",New York,NY
Host Hotels & Resorts,"$5,387 ",$564.00 ,"$11,693 ",205,Financials,Real estate,Bethesda,MD
Kelly Services,"$5,374 ",$71.60 ,"$2,378 ","7,800",Business Services,Temporary Help,Troy,MI
Genesis Healthcare,"$5,374 ",($579.00),"$4,788 ","68,700",Health Care,Health Care: Medical Facilities,Kennett Square,PA
Michaels Cos.,"$5,362 ",$390.50 ,"$2,300 ","30,500",Retailing,Specialty Retailers: Other,Irving,TX
Advanced Micro Devices,"$5,329 ",$43.00 ,"$3,540 ","8,900",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
Zoetis,"$5,307 ",$864.00 ,"$8,586 ","9,200",Health Care,Pharmaceuticals,Parsippany-Troy Hills,NJ
Williams-Sonoma,"$5,292 ",$259.50 ,"$2,786 ","19,350",Retailing,Specialty Retailers: Other,SF,CA
Fortune Brands Home & Security,"$5,283 ",$472.60 ,"$5,511 ","23,870",Household Products,"Home Equipment, Furnishings",Deerfield,IL
Big Lots,"$5,271 ",$189.80 ,"$1,652 ","22,900",Retailing,Specialty Retailers: Other,Columbus,OH
Robert Half International,"$5,267 ",$290.60 ,"$1,868 ","17,200",Business Services,Temporary Help,Menlo Park,CA
Post Holdings,"$5,226 ",$48.30 ,"$11,877 ","11,410","Food, Beverages &  Tobacco",Food Consumer Products,St. Louis,MO
Hasbro,"$5,210 ",$396.60 ,"$5,290 ","5,400",Household Products,"Toys, Sporting Goods",Pawtucket,RI
Hanover Insurance Group,"$5,184 ",$186.20 ,"$15,470 ","4,600",Financials,Insurance: Property and Casualty (Stock),Worcester,MA
Navient,"$5,179 ",$292.00 ,"$114,991 ","6,700",Financials,Diversified Financials,Wilmington,DE
Intuit,"$5,177 ",$971.00 ,"$4,068 ","8,200",Technology,Computer Software,Mountain View,CA
Domtar,"$5,157 ",($258.00),"$5,212 ","10,000",Materials,Forest and Paper Products,Fort Mill,SC
Marathon Oil,"$5,153 ","($5,723.00)","$22,012 ","2,300",Energy,"Mining, Crude-Oil Production",Houston,TX
Cerner,"$5,142 ",$867.00 ,"$6,469 ","26,000",Health Care,Health Care: Pharmacy and Other Services,North Kansas City,MO
Analog Devices,"$5,108 ",$727.30 ,"$21,141 ","15,300",Technology,Semiconductors and Other Electronic Components,Norwood,MA
Telephone & Data Systems,"$5,044 ",$153.00 ,"$9,295 ","9,900",Telecommunications,Telecommunications,Chicago,IL
Essendant,"$5,037 ",($267.00),"$1,774 ","6,400",Wholesalers,Wholesalers: Electronics and Office Equipment,Deerfield,IL
Sonoco Products,"$5,037 ",$175.30 ,"$4,558 ","21,000",Materials,"Packaging, Containers",Hartsville,SC
Juniper Networks,"$5,027 ",$306.20 ,"$9,834 ","9,381",Technology,Network and Other Communications Equipment,Sunnyvale,CA
Commercial Metals,"$4,999 ",$46.30 ,"$2,975 ","8,797",Materials,Metals,Irving,TX
CSRA,"$4,993 ",$304.00 ,"$4,888 ","18,500",Technology,Information Technology Services,Falls Church,VA
Under Armour,"$4,977 ",($48.30),"$4,006 ","11,350",Apparel,Apparel,Baltimore,MD
RPM International,"$4,958 ",$181.80 ,"$5,090 ","14,318",Chemicals,Chemicals,Medina,OH
Total System Services,"$4,928 ",$586.20 ,"$6,332 ","11,800",Business Services,Financial Data Services,Columbus,GA
Levi Strauss,"$4,904 ",$281.40 ,"$3,355 ","13,800",Apparel,Apparel,SF,CA
Brunswick,"$4,898 ",$146.40 ,"$3,358 ","15,116",Transportation,Transportation Equipment,Libertyville,IL
YRC Worldwide,"$4,891 ",($10.80),"$1,586 ","32,000",Transportation,"Trucking, Truck Leasing",Overland Park,KS
Mattel,"$4,882 ","($1,053.80)","$6,239 ","28,000",Household Products,"Toys, Sporting Goods",El Segundo,CA
FM Global,"$4,875 ",$254.10 ,"$23,247 ","5,441",Financials,Insurance: Property and Casualty (Stock),Johnston,RI
NiSource,"$4,875 ",$128.50 ,"$19,962 ","8,175",Energy,Utilities: Gas and Electric,Merrillville,IN
Caesars Entertainment,"$4,852 ",($375.00),"$25,512 ","65,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
Electronic Arts,"$4,845 ",$967.00 ,"$7,718 ","8,800",Technology,Entertainment,Redwood City,CA
Dynegy,"$4,842 ",$76.00 ,"$11,771 ","2,489",Energy,Energy,Houston,TX
McCormick,"$4,834 ",$477.40 ,"$10,386 ","11,700","Food, Beverages &  Tobacco",Food Consumer Products,Sparks Glencoe,MD
T. Rowe Price,"$4,793 ","$1,497.80 ","$7,535 ","6,881",Financials,Securities,Baltimore,MD
Orbital ATK,"$4,764 ",$310.00 ,"$5,666 ","13,900",Aerospace &  Defense,Aerospace and Defense,Sterling,VA
Tutor Perini,"$4,757 ",$148.40 ,"$4,264 ","10,061",Engineering &  Construction,"Engineering, Construction",Los Angeles,CA
Brookdale Senior Living,"$4,747 ",($571.40),"$7,675 ","62,550",Health Care,Health Care: Medical Facilities,Brentwood,TN
Huntington Bancshares,"$4,740 ","$1,186.00 ","$104,185 ","15,770",Financials,Commercial Banks,Columbus,OH
Wayfair,"$4,721 ",($244.60),"$1,213 ","7,751",Technology,Internet Services and Retailing,Boston,MA
