Symbol,Company,Sector,PE_Ratio,CEO,Salary,Market Cap
AIZ,"Assurant, Inc.",Financials,33.27,Alan Colberg,13616946,4653993594
URI,"United Rentals, Inc.",Industrials,16.33,Michael Kneeland,13598202,14654954091
RHT,"Red Hat, Inc.",Information Technology,79.9,James Whitehurst,13597466,22799923883
SWK,"Stanley Black & Decker, Inc.",Consumer Discretionary,20.57,James Loree,13563404,24496399600
WBA,"Walgreens Boots Alliance, Inc.",Consumer Staples,13.38,Stefano Pessina,13542260,70862541911
MMM,3M Co.,Industrials,24.31,Inge Thulin,13530086,138721055226
CCL,Carnival Corp.,Consumer Discretionary,17.48,Arnold Donald,13506884,49180044050
USB,U.S. Bancorp,Financials,15.35,Andrew Cecere,13437128,90940115897
CME,"CME Group, Inc.",Financials,32.15,Terrence Duffy,13416665,54423298745
FL,"Foot Locker, Inc.",Consumer Discretionary,9.5,Richard Johnson,13401976,5819080328
SBUX,Starbucks Corp.,Consumer Discretionary,25.98,Kevin Johnson,13382480,76548976000
AMD,"Advanced Micro Devices, Inc.",Information Technology,187.0,Lisa Su,13356392,11191663795
MYL,Mylan NV,Health Care,8.35,Heather Bresch,13332368,21698849265
CXO,"Concho Resources, Inc.",Energy,84.39,Timothy Leach,13317156,22021882339
SHW,The Sherwin-Williams Co.,Materials,26.75,John Morikis,13213749,37730994828
SO,The Southern Co.,Utilities,15.78,Thomas Fanning,13097691,43497224128
TROW,"T. Rowe Price Group, Inc.",Financials,19.92,William Stromberg,13086753,25810865035
COG,Cabot Oil & Gas Corp.,Energy,60.55,Dan Dinges,13050320,10808821635
JEC,"Jacobs Engineering Group, Inc.",Industrials,19.45,Steven Demetriou,13043688,9326484316
KMB,Kimberly-Clark Corp.,Consumer Staples,17.93,Thomas Falk,13010083,39449596000
NWSA,News Corp.,Consumer Discretionary,43.47,Robert Thomson,12977958,9356906461
MAR,"Marriott International, Inc.",Consumer Discretionary,32.73,Arne Sorenson,12933992,50910130358
IVZ,Invesco Ltd.,Financials,11.87,Martin Flanagan,12921609,13620847614
NTAP,"NetApp, Inc.",Information Technology,26.1,George Kurian,12859367,15375210915
MGM,MGM Resorts International,Consumer Discretionary,29.65,James Murren,12849021,19633674337
LRCX,Lam Research Corp.,Information Technology,16.29,Martin Anstice,12848645,27967534829
M,"Macy's, Inc.",Consumer Discretionary,7.67,Jeffrey Gennette,12733691,7541063495
FLR,Fluor Corp.,Industrials,19.9,David Seaton,12673601,7978485059
CA,"CA, Inc.",Information Technology,14.32,Michael Gregoire,12616865,14175422936
HES,Hess Corp.,Energy,-9.33,John Hess,12572440,14016129999
ADP,"Automatic Data Processing, Inc.",Information Technology,29.34,Carlos Rodriguez,12489040,50337702249
DVN,Devon Energy Corp.,Energy,23.93,David Hager,12459068,19317380000
SYF,Synchrony Financial,Financials,13.35,Margaret Keane,12449138,28893750000
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,16.26,Richard Fain,12422715,27418147452
FISV,"Fiserv, Inc.",Information Technology,27.32,Jeffery Yabuki,12410769,26918949723
KLAC,KLA-Tencor Corp.,Information Technology,16.59,Richard Wallace,12391300,16078622033
SPGI,"S&P Global, Inc.",Financials,27.38,Douglas Peterson,12360845,46585950000
LH,Laboratory Corp. of America Holdings,Health Care,17.79,David King,12264236,17271388000
ROST,"Ross Stores, Inc.",Consumer Discretionary,26.52,Barbara Rentler,12248994,29803566306
PFG,"Principal Financial Group, Inc.",Financials,11.96,Daniel Houston,12227017,18457199721
MRO,Marathon Oil Corp.,Energy,-32.0,Lee Tillman,12210874,13875005314
AEP,"American Electric Power Co., Inc.",Utilities,17.32,Nicholas Akins,12202028,31701916517
XEL,"Xcel Energy, Inc.",Utilities,18.14,Benjamin Fowke III,12147768,21559611927
PNW,Pinnacle West Capital Corp.,Utilities,16.06,Donald Brandt,12145522,8397609889
EOG,"EOG Resources, Inc.",Energy,246.44,William Thomas,12042335,61164030149
KR,The Kroger Co.,Consumer Staples,13.07,W. McMullen,12037872,25471355847
AAL,"American Airlines Group, Inc.",Industrials,9.92,W. Parker,11999517,24594852352
PXD,Pioneer Natural Resources Co.,Energy,118.29,Timothy Dove,11936791,29983119693
WHR,Whirlpool Corp.,Consumer Discretionary,11.77,Marc Bitzer,11836275,12177920000
RSG,"Republic Services, Inc.",Industrials,26.13,Donald Slager,11787571,21590903863
PPG,"PPG Industries, Inc.",Materials,18.73,Michael McGarry,11784404,29043337549
HSY,The Hershey Co.,Consumer Staples,20.51,Michele Buck,11718372,20867272020
A,"Agilent Technologies, Inc.",Health Care,27.45,Michael McMullen,11708230,21984606918
ZTS,"Zoetis, Inc.",Health Care,32.8,Juan Alaix,11669400,35991109776
MAS,Masco Corp.,Industrials,22.12,Keith Allman,11636439,13428792315
