Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Paccar,"$19,456 ","$1,675.20 ","$23,440 ","25,000",Industrials,Construction and Farm Machinery,Bellevue,WA,19456.0,25000
Hartford Financial Services,"$19,228 ","($3,131.00)","$225,260 ","16,400",Financials,Insurance: Property and Casualty (Stock),Hartford,CT,19228.0,16400
Kohls,"$19,095 ",$859.00 ,"$13,340 ","85,000",Retailing,General Merchandisers,Menomonee Falls,WI,19095.0,85000
Western Digital,"$19,093 ",$397.00 ,"$29,860 ","67,629",Technology,"Computers, Office Equipment",San Jose,CA,19093.0,67629
Jabil,"$19,063.10 ",$129.10 ,"$11,096 ",170000,Technology,Semiconductors and Other Electronic Components,St. Petersburg,FL,19063.1,170000
Community Health Systems,"$18,477 ","($2,459.00)","$17,450 ","86,000",Health Care,Health Care: Medical Facilities,Franklin,TN,18477.0,86000
Visa,"$18,358 ","$6,699.00 ","$67,977 ","15,000",Business Services,Financial Data Services,SF,CA,18358.0,15000
Danaher,"$18,330 ","$2,492.10 ","$46,649 ","67,000",Health Care,Medical Products and Equipment,Leavenworth,WA,18330.0,67000
Kimberly-Clark,"$18,259 ","$2,278.00 ","$15,151 ","42,000",Household Products,Household and Personal Products,Irving,TX,18259.0,42000
AECOM,"$18,203 ",$339.40 ,"$14,397 ","87,000",Engineering &  Construction,"Engineering, Construction",Los Angeles,CA,18203.0,87000
PNC Financial Services,"$18,035 ","$5,338.00 ","$380,768 ","51,632",Financials,Commercial Banks,Pittsburgh,PA,18035.0,51632
CenturyLink,"$17,656 ","$1,389.00 ","$75,611 ","51,000",Telecommunications,Telecommunications,Monroe,LA,17656.0,51000
NextEra Energy,"$17,195 ","$5,378.00 ","$97,827 ","14,000",Energy,Utilities: Gas and Electric,North Palm Beach,FL,17195.0,14000
PG& E Corp.,"$17,135 ","$1,646.00 ","$68,012 ","23,000",Energy,Utilities: Gas and Electric,SF,CA,17135.0,23000
Synnex,"$17,046 ",$301.20 ,"$7,699 ","113,600",Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,CA,17046.0,113600
WellCare Health Plans,"$17,007 ",$373.70 ,"$8,365 ","8,900",Health Care,Health Care: Insurance and Managed Care,Tampa,FL,17007.0,8900
Performance Food Group,"$16,762 ",$96.30 ,"$3,804 ","14,000",Wholesalers,Wholesalers: Food and Grocery,Richmond,VA,16762.0,14000
Sears Holdings,"$16,702 ",($383.00),"$7,262 ","89,000",Retailing,General Merchandisers,Hoffman Estates,IL,16702.0,89000
Synchrony Financial,"$16,695 ","$1,935.00 ","$95,808 ","16,000",Financials,Diversified Financials,Stamford,CT,16695.0,16000
CarMax,"$16,637 ",$627.00 ,"$16,279 ","24,344",Retailing,"Automotive Retailing, Services",Richmond,VA,16637.0,24344
Bank of New York Mellon,"$16,621 ","$4,090.00 ","$371,758 ",52500,Financials,Commercial Banks,New York City,NY,16621.0,52500
Freeport-McMoRan,"$16,416 ","$1,817.00 ","$37,302 ","25,200",Energy,"Mining, Crude-Oil Production",Phoenix,AZ,16416.0,25200
Genuine Parts,"$16,309 ",$616.80 ,"$12,412 ","48,000",Wholesalers,Wholesalers: Diversified,Atlanta,GA,16309.0,48000
Emerson Electric,"$16,301 ","$1,518.00 ","$19,589 ","76,500",Industrials,Industrial Machinery,St. Louis,MO,16301.0,76500
DaVita,"$16,038 ",$663.60 ,"$18,948 ","74,500",Health Care,Health Care: Medical Facilities,Denver,CO,16038.0,74500
Supervalu,"$16,009 ",$650.00 ,"$3,580 ","29,000",Food &  Drug Stores,Food and Drug Stores,Eden Prairie,MN,16009.0,29000
Gap,"$15,855 ",$848.00 ,"$7,989 ","135,000",Retailing,Specialty Retailers: Apparel,SF,CA,15855.0,135000
General Mills,"$15,620 ","$1,657.50 ","$21,813 ","38,000","Food, Beverages &  Tobacco",Food Consumer Products,Minneapolis,MN,15620.0,38000
Nordstrom,"$15,478 ",$437.00 ,"$8,115 ","76,000",Retailing,General Merchandisers,Seattle,WA,15478.0,76000
Colgate-Palmolive,"$15,454 ","$2,024.00 ","$12,676 ","35,900",Household Products,Household and Personal Products,New York,NY,15454.0,35900
American Electric Power,"$15,425 ","$1,912.60 ","$64,729 ","17,666",Energy,Utilities: Gas and Electric,Columbus,OH,15425.0,17666
XPO Logistics,"$15,381 ",$340.20 ,"$12,602 ","95,000",Transportation,Transportation and Logistics,Greenwich,CT,15381.0,95000
Goodyear Tire & Rubber,"$15,377 ",$346.00 ,"$17,064 ","64,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Akron,OH,15377.0,64000
Omnicom Group,"$15,274 ","$1,088.40 ","$24,931 ","77,300",Business Services,"Advertising, marketing",New York,NY,15274.0,77300
CDW,"$15,192 ",$523.00 ,"$6,957 ","8,726",Technology,Information Technology Services,Lincolnshire,IL,15192.0,8726
Sherwin-Williams,"$14,984 ","$1,772.30 ","$19,958 ","52,695",Chemicals,Chemicals,Cleveland,OH,14984.0,52695
PPG Industries,"$14,967 ","$1,591.00 ","$16,538 ","47,200",Chemicals,Chemicals,Pittsburgh,PA,14967.0,47200
Texas Instruments,"$14,961 ","$3,682.00 ","$17,642 ","29,714",Technology,Semiconductors and Other Electronic Components,Dallas,TX,14961.0,29714
C.H. Robinson Worldwide,"$14,869 ",$504.90 ,"$4,236 ","15,074",Transportation,Transportation and Logistics,Eden Prairie,MN,14869.0,15074
WestRock,"$14,860 ",$708.20 ,"$25,089 ","44,800",Materials,"Packaging, Containers",Atlanta,GA,14860.0,44800
Cognizant Technology Solutions,"$14,810 ","$1,504.00 ","$15,221 ","260,000",Technology,Information Technology Services,Teaneck,NJ,14810.0,260000
Newell Brands,"$14,742 ","$2,748.80 ","$33,136 ","49,000",Household Products,"Home Equipment, Furnishings",Hoboken,NJ,14742.0,49000
CBS,"$14,710 ",$357.00 ,"$20,843 ","14,715",Media,Entertainment,New York,NY,14710.0,14715
Envision Healthcare,"$14,701 ",($228.00),"$16,573 ","57,750",Health Care,Health Care: Pharmacy and Other Services,Nashville,TN,14701.0,57750
Monsanto,"$14,640 ","$2,260.00 ","$21,333 ","21,900",Chemicals,Chemicals,St. Louis,MO,14640.0,21900
Aramark,"$14,604 ",$373.90 ,"$11,006 ","215,000",Business Services,Diversified Outsourcing Services,Philadelphia,PA,14604.0,215000
Applied Materials,"$14,537 ","$3,434.00 ","$19,419 ","18,400",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,14537.0,18400
Waste Management,"$14,485 ","$1,949.00 ","$21,829 ","42,300",Business Services,Waste Management,Houston,TX,14485.0,42300
DISH Network,"$14,391 ","$2,098.70 ","$29,774 ","17,000",Telecommunications,Telecommunications,Englewood,CO,14391.0,17000
Illinois Tool Works,"$14,314 ","$1,687.00 ","$16,780 ","50,000",Industrials,Industrial Machinery,Glenview,IL,14314.0,50000
Lincoln National,"$14,257 ","$2,079.00 ","$281,763 ","9,047",Financials,"Insurance: Life, Health (stock)",Wayne,PA,14257.0,9047
HollyFrontier,"$14,251 ",$805.40 ,"$10,692 ","3,522",Energy,Petroleum Refining,Dallas,TX,14251.0,3522
CBRE Group,"$14,210 ",$691.50 ,"$11,484 ","80,000",Financials,Real estate,Los Angeles,CA,14210.0,80000
Textron,"$14,198 ",$307.00 ,"$15,340 ","37,000",Aerospace &  Defense,Aerospace and Defense,Providence,RI,14198.0,37000
Ross Stores,"$14,135 ","$1,362.80 ","$5,722 ","82,700",Retailing,Specialty Retailers: Apparel,Dublin,CA,14135.0,82700
Principal Financial,"$14,093 ","$2,310.40 ","$253,941 ","15,378",Financials,"Insurance: Life, Health (stock)",Des Moines,IA,14093.0,15378
D.R. Horton,"$14,091 ","$1,038.40 ","$12,185 ","7,735",Engineering &  Construction,Homebuilders,Arlington,TX,14091.0,7735
Marsh & McLennan,"$14,024 ","$1,492.00 ","$20,429 ","64,000",Financials,Diversified Financials,New York,NY,14024.0,64000
Devon Energy,"$13,949 ",$898.00 ,"$30,241 ","3,414",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,13949.0,3414
AES,"$13,850 ","($1,161.00)","$33,112 ","10,500",Energy,Utilities: Gas and Electric,Arlington,VA,13850.0,10500
Ecolab,"$13,838 ","$1,508.40 ","$19,962 ","48,400",Chemicals,Chemicals,St Paul,MN,13838.0,48400
Land O'Lakes,"$13,740 ",$314.20 ,"$9,509 ","10,000","Food, Beverages &  Tobacco",Food Consumer Products,Arden Hills,MN,13740.0,10000
Loews,"$13,735 ","$1,164.00 ","$79,586 ","18,100",Financials,Insurance: Property and Casualty (Stock),New York,NY,13735.0,18100
Kinder Morgan,"$13,705 ",$183.00 ,"$79,055 ","10,897",Energy,Pipelines,Houston,TX,13705.0,10897
FirstEnergy,"$13,627 ","($1,724.00)","$42,257 ","15,617",Energy,Utilities: Gas and Electric,Akron,OH,13627.0,15617
Occidental Petroleum,"$13,274 ","$1,311.00 ","$42,026 ","11,000",Energy,"Mining, Crude-Oil Production",Houston,TX,13274.0,11000
Viacom,"$13,263 ","$1,874.00 ","$23,698 ","11,200",Media,Entertainment,New York,NY,13263.0,11200
PayPal Holdings,"$13,094 ","$1,795.00 ","$40,774 ","18,700",Business Services,Financial Data Services,San Jose,CA,13094.0,18700
NGL Energy Partners,"$13,022 ",$137.00 ,"$6,320 ","2,700",Energy,Energy,Tulsa,OK,13022.0,2700
Celgene,"$13,003 ","$2,940.00 ","$30,141 ","7,467",Health Care,Pharmaceuticals,Summit,NJ,13003.0,7467
Arconic,"$12,960 ",($74.00),"$18,718 ","41,500",Aerospace &  Defense,Aerospace and Defense,New York,NY,12960.0,41500
Kellogg,"$12,923 ","$1,269.00 ","$16,350 ","32,944","Food, Beverages &  Tobacco",Food Consumer Products,Battle Creek,MI,12923.0,32944
Las Vegas Sands,"$12,882 ","$2,806.00 ","$20,687 ","50,500","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,12882.0,50500
Stanley Black & Decker,"$12,747 ","$1,226.00 ","$19,080 ","57,765",Household Products,"Home Equipment, Furnishings",New Britain,CT,12747.0,57765
Booking Holdings,"$12,681 ","$2,340.80 ","$25,451 ","22,900",Technology,Internet Services and Retailing,Norwalk,CT,12681.0,22900
Lennar,"$12,646 ",$810.50 ,"$18,745 ","9,111",Engineering &  Construction,Homebuilders,Miami,FL,12646.0,9111
L Brands,"$12,632 ",$983.00 ,"$8,149 ","59,200",Retailing,Specialty Retailers: Apparel,Columbus,OH,12632.0,59200
DTE Energy,"$12,607 ","$1,134.00 ","$33,767 ","10,200",Energy,Utilities: Gas and Electric,Detroit,MI,12607.0,10200
Dominion Energy,"$12,586 ","$2,999.00 ","$76,585 ",16200,Energy,Utilities: Gas and Electric,Richmond,VA,12586.0,16200
Reinsurance Group of America,"$12,516 ","$1,822.20 ","$60,515 ","2,640",Financials,"Insurance: Life, Health (stock)",Chesterfield,MO,12516.0,2640
J.C. Penney,"$12,506 ",($116.00),"$8,413 ","98,000",Retailing,General Merchandisers,Plano,TX,12506.0,98000
Mastercard,"$12,497 ","$3,915.00 ","$21,329 ","13,400",Business Services,Financial Data Services,Harrison,NY,12497.0,13400
BlackRock,"$12,491 ","$4,970.00 ","$220,217 ","13,900",Financials,Securities,New York,NY,12491.0,13900
Henry Schein,"$12,462 ",$406.30 ,"$7,811 ","22,000",Wholesalers,Wholesalers: Health Care,Melville,NY,12462.0,22000
Guardian Life Ins. Co. of America,"$12,455 ",$455.30 ,"$75,038 ","9,283",Financials,"Insurance: Life, Health (Mutual)",New York,NY,12455.0,9283
Stryker,"$12,444 ","$1,020.00 ","$22,197 ","33,000",Health Care,Medical Products and Equipment,Kalamazoo,MI,12444.0,33000
Jefferies Financial Group,"$12,408 ",$171.70 ,"$47,169 ","12,700",Financials,Diversified Financials,New York,NY,12408.0,12700
VF,"$12,400 ",$614.90 ,"$9,959 ","69,000",Apparel,Apparel,Greensboro,NC,12400.0,69000
ADP,"$12,380 ","$1,733.40 ","$37,180 ","58,000",Business Services,Diversified Outsourcing Services,Roseland,NJ,12380.0,58000
Edison International,"$12,320 ",$565.00 ,"$52,580 ","12,521",Energy,Utilities: Gas and Electric,Rosemead,CA,12320.0,12521
Biogen,"$12,274 ","$2,539.10 ","$23,653 ","7,300",Health Care,Pharmaceuticals,Cambridge,MA,12274.0,7300
United States Steel,"$12,250 ",$387.00 ,"$9,862 ","29,200",Materials,Metals,Pittsburgh,PA,12250.0,29200
Core-Mark Holding,"$12,225 ",$33.50 ,"$1,783 ","8,413",Wholesalers,Wholesalers: Food and Grocery,South San Francisco,CA,12225.0,8413
Bed Bath & Beyond,"$12,216 ",$685.10 ,"$6,846 ","65,000",Retailing,Specialty Retailers: Other,Union,NJ,12216.0,65000
Oneok,"$12,174 ",$387.80 ,"$16,846 ","2,470",Energy,Pipelines,Tulsa,OK,12174.0,2470
BB& T Corp.,"$12,156 ","$2,394.00 ","$221,642 ","36,484",Financials,Commercial Banks,Winston-Salem,NC,12156.0,36484
Becton Dickinson,"$12,093 ","$1,100.00 ","$37,734 ","41,933",Health Care,Medical Products and Equipment,Franklin Lakes,NJ,12093.0,41933
Ameriprise Financial,"$12,075 ","$1,480.00 ","$147,470 ","13,312",Financials,Diversified Financials,Minneapolis,MN,12075.0,13312
Farmers Insurance Exchange,"$12,072 ",($65.40),"$16,165 ","13,015",Financials,Insurance: Property and Casualty (Mutual),Los Angeles,CA,12072.0,13015
First Data,"$12,052 ","$1,465.00 ","$48,269 ","22,000",Business Services,Financial Data Services,New York,NY,12052.0,22000
Consolidated Edison,"$12,033 ","$1,525.00 ","$48,111 ","15,591",Energy,Utilities: Gas and Electric,New York,NY,12033.0,15591
Parker-Hannifin,"$12,029 ",$983.40 ,"$15,490 ","56,690",Industrials,Industrial Machinery,Cleveland,OH,12029.0,56690
Anadarko Petroleum,"$11,908 ",($456.00),"$42,086 ","4,400",Energy,"Mining, Crude-Oil Production",The Woodlands,TX,11908.0,4400
Estee Lauder,"$11,824 ","$1,249.00 ","$11,568 ","46,000",Household Products,Household and Personal Products,New York,NY,11824.0,46000
State Street Corp.,"$11,774 ","$2,177.00 ","$238,425 ","36,643",Financials,Commercial Banks,Boston,MA,11774.0,36643
Tesla,"$11,759 ","($1,961.40)","$28,655 ","37,543",Motor Vehicles &  Parts,Motor Vehicles and Parts,Palo Alto,CA,11759.0,37543
Netflix,"$11,693 ",$558.90 ,"$19,013 ","5,100",Technology,Internet Services and Retailing,Los Gatos,CA,11693.0,5100
Alcoa,"$11,652 ",$217.00 ,"$17,447 ","14,600",Materials,Metals,Pittsburgh,PA,11652.0,14600
Discover Financial Services,"$11,545 ","$2,099.00 ","$100,087 ","16,500",Financials,Commercial Banks,Riverwoods,IL,11545.0,16500
Praxair,"$11,437 ","$1,247.00 ","$20,436 ","26,461",Chemicals,Chemicals,Danbury,CT,11437.0,26461
CSX,"$11,408 ","$5,471.00 ","$35,739 ","24,006",Transportation,Railroads,Jacksonville,FL,11408.0,24006
Xcel Energy,"$11,404 ","$1,148.00 ","$43,030 ","11,105",Energy,Utilities: Gas and Electric,Minneapolis,MN,11404.0,11105
Unum Group,"$11,287 ",$994.20 ,"$64,013 ","9,400",Financials,"Insurance: Life, Health (stock)",Chattanooga,TN,11287.0,9400
Universal Health Services,"$11,279 ",$752.30 ,"$10,762 ","72,300",Health Care,Health Care: Medical Facilities,King of Prussia,PA,11279.0,72300
NRG Energy,"$11,275 ","($2,153.00)","$23,318 ","5,940",Energy,Energy,Princeton,NJ,11275.0,5940
EOG Resources,"$11,208 ","$2,582.60 ","$29,833 ","2,664",Energy,"Mining, Crude-Oil Production",Houston,TX,11208.0,2664
Sempra Energy,"$11,207 ",$256.00 ,"$50,454 ","16,046",Energy,Utilities: Gas and Electric,San Diego,CA,11207.0,16046
Toys 'R' Us,"$11,146 ",($612.00),"$7,262 ","65,000",Retailing,Specialty Retailers: Other,Wayne,NJ,11146.0,65000
Group 1 Automotive,"$11,124 ",$213.40 ,"$4,871 ","14,108",Retailing,"Automotive Retailing, Services",Houston,TX,11124.0,14108
Entergy,"$11,075 ",$411.60 ,"$46,707 ","13,504",Energy,Utilities: Gas and Electric,New Orleans,LA,11075.0,13504
Molson Coors Brewing,"$11,003 ","$1,414.20 ","$30,247 ","17,200","Food, Beverages &  Tobacco",Beverages,Denver,CO,11003.0,17200
L3 Technologies,"$11,002 ",$677.00 ,"$12,729 ","38,000",Aerospace &  Defense,Aerospace and Defense,New York,NY,11002.0,38000
Ball,"$10,983 ",$374.00 ,"$17,169 ","18,300",Materials,"Packaging, Containers",Broomfield,CO,10983.0,18300
AutoZone,"$10,889 ","$1,280.90 ","$9,260 ","70,035",Retailing,Specialty Retailers: Other,Memphis,TN,10889.0,70035
Murphy USA,"$10,853 ",$245.30 ,"$2,331 ","6,900",Retailing,Specialty Retailers: Other,El Dorado,AR,10853.0,6900
MGM Resorts International,"$10,774 ","$1,960.30 ","$29,159 ","68,500","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,10774.0,68500
Office Depot,"$10,752 ",$181.00 ,"$6,323 ","45,000",Retailing,Specialty Retailers: Other,Boca Raton,FL,10752.0,45000
Huntsman,"$10,592 ",$636.00 ,"$10,244 ","10,000",Chemicals,Chemicals,The Woodlands,TX,10592.0,10000
Baxter International,"$10,561 ",$717.00 ,"$17,111 ","47,000",Health Care,Medical Products and Equipment,Deerfield,IL,10561.0,47000
Norfolk Southern,"$10,551 ","$5,404.00 ","$35,711 ","27,110",Transportation,Railroads,Norfolk,VA,10551.0,27110
salesforce.com,"$10,480 ",$127.50 ,"$21,010 ","29,000",Technology,Computer Software,SF,CA,10480.0,29000
Laboratory Corp. of America,"$10,441 ","$1,268.20 ","$16,568 ","60,000",Health Care,Health Care: Pharmacy and Other Services,Burlington,NC,10441.0,60000
W.W. Grainger,"$10,425 ",$585.70 ,"$5,804 ","25,050",Wholesalers,Wholesalers: Diversified,Lake Forest,IL,10425.0,25050
Qurate Retail,"$10,404 ","$2,441.00 ","$24,122 ","28,255",Retailing,Internet Services and Retailing,Englewood,CO,10404.0,28255
Autoliv,"$10,383 ",$427.10 ,"$8,550 ","67,352",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI,10383.0,67352
Live Nation Entertainment,"$10,337 ",($6.00),"$7,504 ","15,050",Media,Entertainment,Beverly Hills,CA,10337.0,15050
Xerox,"$10,265 ",$195.00 ,"$15,946 ","36,100",Technology,"Computers, Office Equipment",Norwalk,CT,10265.0,36100
Leidos Holdings,"$10,170 ",$366.00 ,"$8,990 ","31,000",Technology,Information Technology Services,Reston,VA,10170.0,31000
Corning,"$10,116 ",($497.00),"$27,494 ","46,200",Industrials,"Electronics, Electrical Equip.",Corning,NY,10116.0,46200
Lithia Motors,"$10,087 ",$245.20 ,"$4,683 ","12,899",Retailing,"Automotive Retailing, Services",Medford,OR,10087.0,12899
Expedia Group,"$10,060 ",$378.00 ,"$18,516 ","22,615",Retailing,Internet Services and Retailing,Bellevue,WA,10060.0,22615
Republic Services,"$10,042 ","$1,278.40 ","$21,147 ","35,000",Business Services,Waste Management,Phoenix,AZ,10042.0,35000
Jacobs Engineering Group,"$10,023 ",$293.70 ,"$7,381 ","49,750",Engineering &  Construction,"Engineering, Construction",Dallas,TX,10023.0,49750
Sonic Automotive,"$9,867 ",$93.00 ,"$3,819 ","9,750",Retailing,"Automotive Retailing, Services",Charlotte,NC,9867.0,9750
Ally Financial,"$9,866 ",$929.00 ,"$167,148 ","7,900",Financials,Diversified Financials,Detroit,MI,9866.0,7900
LKQ,"$9,848 ",$533.70 ,"$9,367 ","43,000",Wholesalers,Wholesalers: Diversified,Chicago,IL,9848.0,43000
BorgWarner,"$9,799 ",$439.90 ,"$9,788 ","29,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI,9799.0,29000
Fidelity National Financial,"$9,769 ",$771.00 ,"$9,151 ","24,525",Financials,Insurance: Property and Casualty (Stock),Jacksonville,FL,9769.0,24525
SunTrust Banks,"$9,741 ","$2,273.00 ","$205,962 ","23,785",Financials,Commercial Banks,Atlanta,GA,9741.0,23785
IQVIA Holdings,"$9,739 ","$1,309.00 ","$22,742 ",55000,Health Care,Health Care: Pharmacy and Other Services,Durham,NC,9739.0,55000
Reliance Steel & Aluminum,"$9,721 ",$613.40 ,"$7,751 ","14,900",Materials,Metals,Los Angeles,CA,9721.0,14900
Nvidia,"$9,714 ","$3,047.00 ","$11,241 ","11,528",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,9714.0,11528
Voya Financial,"$9,660 ","($2,992.00)","$222,532 ","6,300",Financials,Diversified Financials,New York,NY,9660.0,6300
CenterPoint Energy,"$9,614 ","$1,792.00 ","$22,736 ","7,977",Energy,Utilities: Gas and Electric,Houston,TX,9614.0,7977
eBay,"$9,567 ","($1,016.00)","$25,981 ","14,100",Technology,Internet Services and Retailing,San Jose,CA,9567.0,14100
Eastman Chemical,"$9,549 ","$1,384.00 ","$15,999 ","14,000",Chemicals,Chemicals,Kingsport,TN,9549.0,14000
American Family Insurance Group,"$9,545 ",$155.60 ,"$24,233 ","11,307",Financials,Insurance: Property and Casualty (Stock),Madison,WI,9545.0,11307
Steel Dynamics,"$9,539 ",$812.70 ,"$6,856 ","7,635",Materials,Metals,Fort Wayne,IN,9539.0,7635
Pacific Life,"$9,510 ","$1,365.00 ","$157,877 ","3,578",Financials,"Insurance: Life, Health (stock)",Newport Beach,CA,9510.0,3578
Chesapeake Energy,"$9,496 ",$949.00 ,"$12,425 ","3,200",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,9496.0,3200
Mohawk Industries,"$9,491 ",$971.60 ,"$12,095 ","38,800",Household Products,"Home Equipment, Furnishings",Calhoun,GA,9491.0,38800
Quanta Services,"$9,467 ",$315.00 ,"$6,480 ","32,800",Engineering &  Construction,"Engineering, Construction",Houston,TX,9467.0,32800
Advance Auto Parts,"$9,374 ",$475.50 ,"$8,482 ","55,500",Retailing,Specialty Retailers: Other,Roanoke,VA,9374.0,55500
Owens & Minor,"$9,318 ",$72.80 ,"$3,376 ","8,600",Wholesalers,Wholesalers: Health Care,Mechanicsville,VA,9318.0,8600
United Natural Foods,"$9,275 ",$130.20 ,"$2,887 ","9,700",Wholesalers,Wholesalers: Food and Grocery,Providence,RI,9275.0,9700
Tenneco,"$9,274 ",$207.00 ,"$4,842 ","32,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Lake Forest,IL,9274.0,32000
Conagra Brands,"$9,235 ",$639.30 ,"$10,096 ","12,600","Food, Beverages &  Tobacco",Food Consumer Products,Chicago,IL,9235.0,12600
GameStop,"$9,225 ",$34.70 ,"$5,042 ","39,500",Retailing,Specialty Retailers: Other,Grapevine,TX,9225.0,39500
Hormel Foods,"$9,168 ",$846.70 ,"$6,976 ","20,200","Food, Beverages &  Tobacco",Food Consumer Products,Austin,MN,9168.0,20200
Hilton Worldwide Holdings,"$9,140 ","$1,259.00 ","$14,308 ","163,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",McLean,VA,9140.0,163000
Frontier Communications,"$9,128 ","($1,804.00)","$24,884 ","22,736",Telecommunications,Telecommunications,Norwalk,CT,9128.0,22736
Fidelity National Information Services,"$9,123 ","$1,319.00 ","$24,517 ","53,000",Business Services,Financial Data Services,Jacksonville,FL,9123.0,53000
Public Service Enterprise Group,"$9,084 ","$1,574.00 ","$42,716 ","12,945",Energy,Utilities: Gas and Electric,Newark,NJ,9084.0,12945
Boston Scientific,"$9,048 ",$104.00 ,"$19,042 ","29,000",Health Care,Medical Products and Equipment,Marlboro,MA,9048.0,29000
OReilly Automotive,"$8,978 ","$1,133.80 ","$7,572 ","60,365",Retailing,Specialty Retailers: Other,Springfield,MO,8978.0,60365
Charles Schwab,"$8,960 ","$2,354.00 ","$243,274 ","17,600",Financials,Securities,SF,CA,8960.0,17600
Global Partners,"$8,921 ",$58.80 ,"$2,320 ","2,000",Wholesalers,Wholesalers: Diversified,Waltham,MA,8921.0,2000
PVH,"$8,915 ",$537.80 ,"$11,886 ","28,050",Apparel,Apparel,New York,NY,8915.0,28050
Avis Budget Group,"$8,848 ",$361.00 ,"$17,699 ","26,300",Retailing,"Automotive Retailing, Services",Parsippany-Troy Hills,NJ,8848.0,26300
Targa Resources,"$8,815 ",$54.00 ,"$14,389 ","2,130",Energy,Pipelines,Houston,TX,8815.0,2130
Hertz Global Holdings,"$8,803 ",$327.00 ,"$20,058 ","37,000",Retailing,"Automotive Retailing, Services",Estero,FL,8803.0,37000
Calpine,"$8,752 ",($339.00),"$16,453 ","2,290",Energy,Energy,Houston,TX,8752.0,2290
Mutual of Omaha Insurance,"$8,732 ",$862.60 ,"$42,429 ","5,896",Financials,"Insurance: Life, Health (stock)",Omaha,NE,8732.0,5896
Crown Holdings,"$8,698 ",$323.00 ,"$10,663 ","24,342",Materials,"Packaging, Containers",Philadelphia,PA,8698.0,24342
Peter Kiewit Sons,"$8,678 ",$371.00 ,"$5,710 ","22,000",Engineering &  Construction,"Engineering, Construction",Omaha,NE,8678.0,22000
Dicks Sporting Goods,"$8,591 ",$323.40 ,"$4,204 ","30,300",Retailing,Specialty Retailers: Other,Coraopolis,PA,8591.0,30300
PulteGroup,"$8,573 ",$447.20 ,"$9,687 ","4,810",Engineering &  Construction,Homebuilders,Atlanta,GA,8573.0,4810
Navistar International,"$8,570 ",$30.00 ,"$6,135 ","11,400",Industrials,Construction and Farm Machinery,Lisle,IL,8570.0,11400
Thrivent Financial for Lutherans,"$8,528 ",$558.40 ,"$95,001 ","3,622",Financials,"Insurance: Life, Health (Mutual)",Minneapolis,MN,8528.0,3622
DCP Midstream,"$8,462 ",$229.00 ,"$13,878 ","2,650",Energy,Pipelines,Denver,CO,8462.0,2650
Air Products & Chemicals,"$8,442 ","$3,000.40 ","$18,467 ","15,150",Chemicals,Chemicals,Allentown,PA,8442.0,15150
Veritiv,"$8,365 ",($13.30),"$2,708 ","8,900",Wholesalers,Wholesalers: Diversified,Atlanta,GA,8365.0,8900
AGCO,"$8,307 ",$186.40 ,"$7,972 ","20,462",Industrials,Construction and Farm Machinery,Duluth,GA,8307.0,20462
Genworth Financial,"$8,295 ",$817.00 ,"$105,297 ","3,500",Financials,"Insurance: Life, Health (stock)",Richmond,VA,8295.0,3500
Univar,"$8,254 ",$119.80 ,"$5,733 ","8,600",Wholesalers,Wholesalers: Diversified,Downers Grove,IL,8254.0,8600
News Corp.,"$8,139 ",($738.00),"$14,552 ","26,000",Media,"Publishing, Printing",New York,NY,8139.0,26000
SpartanNash,"$8,128 ",($52.80),"$2,056 ","11,950",Wholesalers,Wholesalers: Food and Grocery,Byron Center,MI,8128.0,11950
Westlake Chemical,"$8,041 ","$1,304.00 ","$12,076 ","8,799",Chemicals,Chemicals,Houston,TX,8041.0,8799
Williams,"$8,031 ","$2,174.00 ","$46,352 ","5,425",Energy,Energy,Tulsa,OK,8031.0,5425
Lam Research,"$8,014 ","$1,697.80 ","$12,123 ","9,400",Technology,Semiconductors and Other Electronic Components,Fremont,CA,8014.0,9400
Alaska Air Group,"$7,933 ","$1,034.00 ","$10,740 ","23,156",Transportation,Airlines,Seattle,WA,7933.0,23156
Jones Lang LaSalle,"$7,932 ",$254.20 ,"$8,015 ","81,900",Financials,Real estate,Chicago,IL,7932.0,81900
Anixter International,"$7,927 ",$109.00 ,"$4,252 ","8,900",Wholesalers,Wholesalers: Electronics and Office Equipment,Glenview,IL,7927.0,8900
Campbell Soup,"$7,890 ",$887.00 ,"$7,726 ","18,000","Food, Beverages &  Tobacco",Food Consumer Products,Camden,NJ,7890.0,18000
