Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Costco,"$129,025 ","$2,679.00 ","$36,347 ","182,000",Retailing,General Merchandisers,Issaquah,WA,129025.0,182000
Verizon,"$126,034 ","$30,101.00 ","$257,143 ","155,400",Telecommunications,Telecommunications,New York,NY,126034.0,155400
Kroger,"$122,662 ","$1,907.00 ","$37,197 ","449,000",Food &  Drug Stores,Food and Drug Stores,Cincinnati,OH,122662.0,449000
General Electric,"$122,274 ","($5,786.00)","$377,945 ","313,000",Industrials,Industrial Machinery,Boston,MA,122274.0,313000
Walgreens Boots Alliance,"$118,214 ","$4,078.00 ","$66,009 ","290,000",Food &  Drug Stores,Food and Drug Stores,Deerfield,IL,118214.0,290000
JPMorgan Chase,"$113,899 ","$24,441.00 ","$2,533,600 ","252,539",Financials,Commercial Banks,New York,NY,113899.0,252539
Fannie Mae,"$112,394 ","$2,463.00 ","$3,345,529 ","7,200",Financials,Diversified Financials,Leavenworth,WA,112394.0,7200
Alphabet,"$110,855 ","$12,662.00 ","$197,295 ","80,110",Technology,Internet Services and Retailing,Mountain View,CA,110855.0,80110
Home Depot,"$100,904 ","$8,630.00 ","$44,529 ","413,000",Retailing,Specialty Retailers: Other,Atlanta,GA,100904.0,413000
Bank of America Corp.,"$100,264 ","$18,232.00 ","$2,281,234 ","209,376",Financials,Commercial Banks,Charlotte,NC,100264.0,209376
Express Scripts Holding,"$100,065 ","$4,517.40 ","$54,256 ","26,600",Health Care,Health Care: Pharmacy and Other Services,St. Louis,MO,100065.0,26600
Wells Fargo,"$97,741 ","$22,183.00 ","$1,951,757 ","262,700",Financials,Commercial Banks,SF,CA,97741.0,262700
Boeing,"$93,392 ","$8,197.00 ","$92,333 ","140,800",Aerospace &  Defense,Aerospace and Defense,Chicago,IL,93392.0,140800
Phillips 66,"$91,568 ","$5,106.00 ","$54,371 ","14,600",Energy,Petroleum Refining,Houston,TX,91568.0,14600
Anthem,"$90,040 ","$3,842.80 ","$70,540 ","56,000",Health Care,Health Care: Insurance and Managed Care,Indianapolis,IN,90040.0,56000
Microsoft,"$89,950 ","$21,204.00 ","$241,086 ","124,000",Technology,Computer Software,Redmond,WA,89950.0,124000
Valero Energy,"$88,407 ","$4,065.00 ","$50,158 ","10,015",Energy,Petroleum Refining,San Antonio,TX,88407.0,10015
Citigroup,"$87,966 ","($6,798.00)","$1,842,465 ","209,000",Financials,Commercial Banks,New York,NY,87966.0,209000
Comcast,"$84,526 ","$22,714.00 ","$186,949 ","164,000",Telecommunications,Telecommunications,Philadelphia,PA,84526.0,164000
IBM,"$79,139 ","$5,753.00 ","$125,356 ","397,800",Technology,Information Technology Services,Armonk,NY,79139.0,397800
Dell Technologies,"$78,660 ","($3,728.00)","$122,281 ","145,000",Technology,"Computers, Office Equipment",Round Rock,TX,78660.0,145000
State Farm Insurance Cos.,"$78,331 ","$2,206.50 ","$272,345 ","65,664",Financials,Insurance: Property and Casualty (Mutual),Bloomington,IL,78331.0,65664
Johnson & Johnson,"$76,450 ","$1,300.00 ","$157,303 ","134,000",Health Care,Pharmaceuticals,New Brunswick,NJ,76450.0,134000
Freddie Mac,"$74,676 ","$5,625.00 ","$2,049,776 ","6,165",Financials,Diversified Financials,McLean,VA,74676.0,6165
Target,"$71,879 ","$2,934.00 ","$38,999 ","345,000",Retailing,General Merchandisers,Minneapolis,MN,71879.0,345000
Lowes,"$68,619 ","$3,447.00 ","$35,291 ","255,000",Retailing,Specialty Retailers: Other,Mooresville,NC,68619.0,255000
Marathon Petroleum,"$67,610 ","$3,432.00 ","$49,047 ","43,800",Energy,Petroleum Refining,Findlay,OH,67610.0,43800
Procter & Gamble,"$66,217 ","$15,326.00 ","$120,406 ","95,000",Household Products,Household and Personal Products,Cincinnati,OH,66217.0,95000
MetLife,"$66,153 ","$4,010.00 ","$719,892 ","49,000",Financials,"Insurance: Life, Health (stock)",New York,NY,66153.0,49000
UPS,"$65,872 ","$4,910.00 ","$45,403 ","346,415",Transportation,"Mail, Package, and Freight Delivery",Atlanta,GA,65872.0,346415
PepsiCo,"$63,525 ","$4,857.00 ","$79,804 ","263,000","Food, Beverages &  Tobacco",Food Consumer Products,Harrison,NY,63525.0,263000
Intel,"$62,761 ","$9,601.00 ","$123,249 ","102,700",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,62761.0,102700
DowDuPont,"$62,683 ","$1,460.00 ","$192,164 ",98000,Chemicals,Chemicals,Midland,Michigan,62683.0,98000
Archer Daniels Midland,"$60,828 ","$1,595.00 ","$39,963 ","31,300","Food, Beverages &  Tobacco",Food Production,Chicago,IL,60828.0,31300
Aetna,"$60,535 ","$1,904.00 ","$55,151 ","47,950",Health Care,Health Care: Insurance and Managed Care,Hartford,CT,60535.0,47950
FedEx,"$60,319 ","$2,997.00 ","$48,552 ","357,000",Transportation,"Mail, Package, and Freight Delivery",Memphis,TN,60319.0,357000
United Technologies,"$59,837 ","$4,552.00 ","$96,920 ","204,700",Aerospace &  Defense,Aerospace and Defense,Farmington,CT,59837.0,204700
Prudential Financial,"$59,689 ","$7,863.00 ","$831,921 ","49,705",Financials,"Insurance: Life, Health (stock)",Newark,NJ,59689.0,49705
Albertsons Cos.,"$59,678 ",($373.30),"$23,755 ","273,000",Food &  Drug Stores,Food and Drug Stores,Boise,ID,59678.0,273000
Sysco,"$55,371 ","$1,142.50 ","$17,757 ","66,500",Wholesalers,Wholesalers: Food and Grocery,Houston,TX,55371.0,66500
Disney,"$55,137 ","$8,980.00 ","$95,789 ","199,000",Media,Entertainment,Burbank,CA,55137.0,199000
Humana,"$53,767 ","$2,448.00 ","$27,178 ","45,900",Health Care,Health Care: Insurance and Managed Care,Louisville,KY,53767.0,45900
