Name,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector_x,Industry,City,State,Symbol,Sector_y,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
Dollar General,"$23,471 ","$1,539.00 ","$12,517 ","129,000",Retailing,Specialty Retailers: Other,Goodlettsville,TN,DG,Consumer Discretionary,95.1,21.18,1.0625255,4.43,105.82,65.97,26580644874,2457604000.0,1.5283886,4.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
International Paper,"$23,302 ","$2,144.00 ","$33,903 ","56,000",Materials,"Packaging, Containers",Memphis,TN,IP,Materials,56.05,15.57,3.2067509999999997,5.14,66.94,49.6,24465996443,3004000000.0,1.0738261,4.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
Duke Energy,"$23,189 ","$3,059.00 ","$137,914 ","29,060",Energy,Utilities: Gas and Electric,Charlotte,NC,DUK,Utilities,74.32,16.7,4.784946400000001,3.12,91.8,72.93,52078185682,9895000000.0,2.9348857,1.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
Dollar Tree,"$22,246 ","$1,714.30 ","$16,333 ","116,200",Retailing,Specialty Retailers: Other,Chesapeake,VA,DLTR,Consumer Discretionary,101.58,26.66,0.0,3.77,116.65,65.63,25151198417,2430300000.0,1.6097589,4.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
Union Pacific,"$21,240 ","$10,712.00 ","$57,806 ","41,992",Transportation,Railroads,Omaha,NE,UNP,Industrials,124.86,22.06,2.062655,13.52,143.05,101.06,101513290382,10169000000.0,4.8605075,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
Southwest Airlines,"$21,171 ","$3,488.00 ","$25,110 ","56,110",Transportation,Airlines,Dallas,TX,LUV,Industrials,55.63,15.89,0.863707,5.82,66.985,49.76,34351211637,4533000000.0,1.6294897,3.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV
Thermo Fisher Scientific,"$20,918 ","$2,225.00 ","$56,669 ","66,100",Technology,"Scientific,Photographic and  Control Equipment",Waltham,MA,TMO,Health Care,198.73,21.84,0.32763190000000003,5.6,226.44,151.69,83226586345,4751300000.0,4.015666,3.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
Bristol-Myers Squibb,"$20,776 ","$1,007.00 ","$33,551 ","23,700",Health Care,Pharmaceuticals,New York,NY,BMY,Health Care,62.69,20.83,2.5546862999999997,2.65,66.1,51.12,102506501960,5170000000.0,6.5032309999999995,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
Micron Technology,"$20,322 ","$5,089.00 ","$35,336 ","34,100",Technology,Semiconductors and Other Electronic Components,Boise,ID,MU,Information Technology,40.0,9.01,0.0,4.36,49.89,22.64,48576791974,12541000000.0,2.1912806000000002,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU
Western Digital,"$19,093 ",$397.00 ,"$29,860 ","67,629",Technology,"Computers, Office Equipment",San Jose,CA,WDC,Information Technology,80.09,10.19,2.389201,1.29,95.77,71.38,24760297793,5169000000.0,1.245503,2.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC
Kimberly-Clark,"$18,259 ","$2,278.00 ","$15,151 ","42,000",Household Products,Household and Personal Products,Irving,TX,KMB,Consumer Staples,111.69,17.93,3.5599858999999996,6.41,136.21,109.67,39449596000,4033000000.0,2.1947837000000003,151.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB
PNC Financial Services,"$18,035 ","$5,338.00 ","$380,768 ","51,632",Financials,Commercial Banks,Pittsburgh,PA,PNC,Financials,149.38,17.55,1.9354837999999999,10.4,160.07,115.25,73315000000,0.0,4.046530000000001,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC
NextEra Energy,"$17,195 ","$5,378.00 ","$97,827 ","14,000",Energy,Utilities: Gas and Electric,North Palm Beach,FL,NEE,Utilities,145.29,21.65,2.6537917,11.39,159.64,124.18,69661177770,9018000000.0,4.091698,2.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEE
Synchrony Financial,"$16,695 ","$1,935.00 ","$95,808 ","16,000",Financials,Diversified Financials,Stamford,CT,SYF,Financials,34.98,13.35,1.6,2.41,40.59,26.01,28893750000,0.0,2.1096623,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF
Genuine Parts,"$16,309 ",$616.80 ,"$12,412 ","48,000",Wholesalers,Wholesalers: Diversified,Atlanta,GA,GPC,Consumer Discretionary,96.31,21.17,2.7198548,4.6,107.75,79.86,14554321748,1201517000.0,1.212236,4.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC
General Mills,"$15,620 ","$1,657.50 ","$21,813 ","38,000","Food, Beverages &  Tobacco",Food Consumer Products,Minneapolis,MN,GIS,Consumer Staples,53.99,17.53,3.5864594,2.77,63.73,49.65,31098243069,3107600000.0,2.0389178,7.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
Nordstrom,"$15,478 ",$437.00 ,"$8,115 ","76,000",Retailing,General Merchandisers,Seattle,WA,JWN,Consumer Discretionary,47.23,15.04,3.0020284999999998,2.02,53.0,37.7924,8212509855,1448000000.0,0.74603415,9.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JWN
Colgate-Palmolive,"$15,454 ","$2,024.00 ","$12,676 ","35,900",Household Products,Household and Personal Products,New York,NY,CL,Consumer Staples,68.95,24.02,2.2801766,2.28,77.91,66.26,61616643498,4064000000.0,4.000737,236.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
American Electric Power,"$15,425 ","$1,912.60 ","$64,729 ","17,666",Energy,Utilities: Gas and Electric,Columbus,OH,AEP,Utilities,63.38,17.32,3.8479443,1.24,78.07,62.69,31701916517,4450800000.0,2.7489934,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
Goodyear Tire & Rubber,"$15,377 ",$346.00 ,"$17,064 ","64,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Akron,OH,GT,Consumer Discretionary,30.75,9.92,1.6731401999999997,4.74,37.2,28.81,8244568238,2044000000.0,0.72725976,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT
Omnicom Group,"$15,274 ","$1,088.40 ","$24,931 ","77,300",Business Services,"Advertising, marketing",New York,NY,OMC,Consumer Discretionary,75.91,15.27,3.1838683999999997,4.79,86.71,65.32,17377551986,2366000000.0,1.5327156000000002,6.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC
Sherwin-Williams,"$14,984 ","$1,772.30 ","$19,958 ","52,695",Chemicals,Chemicals,Cleveland,OH,SHW,Materials,387.65,26.75,0.8426688,18.61,435.15,302.0101,37730994828,2160668000.0,2.5276077,13.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SHW
PPG Industries,"$14,967 ","$1,591.00 ","$16,538 ","47,200",Chemicals,Chemicals,Pittsburgh,PA,PPG,Materials,110.3,18.73,1.5771488999999999,6.31,122.0697,99.57,29043337549,2585000000.0,1.9551051,4.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG
Texas Instruments,"$14,961 ","$3,682.00 ","$17,642 ","29,714",Technology,Semiconductors and Other Electronic Components,Dallas,TX,TXN,Information Technology,97.66,24.05,2.4318494999999998,3.6,120.75,74.52,100262526470,7013000000.0,6.957223399999999,9.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
Cognizant Technology Solutions,"$14,810 ","$1,504.00 ","$15,221 ","260,000",Technology,Information Technology Services,Teaneck,NJ,CTSH,Information Technology,75.16,22.44,1.0454783,2.54,79.28,54.76,45119684067,2946000000.0,3.9678397000000003,3.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
Newell Brands,"$14,742 ","$2,748.80 ","$33,136 ","49,000",Household Products,"Home Equipment, Furnishings",Hoboken,NJ,NWL,Consumer Discretionary,27.91,9.72,3.1228786,1.17,55.08,23.85,14438346000,2021400000.0,1.2810479,1.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWL
Envision Healthcare,"$14,701 ",($228.00),"$16,573 ","57,750",Health Care,Health Care: Pharmacy and Other Services,Nashville,TN,EVHC,Health Care,35.34,10.91,0.0,-0.48,73.0,23.77,4212729247,827200000.0,1.227099,0.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EVHC
Illinois Tool Works,"$14,314 ","$1,687.00 ","$16,780 ","50,000",Industrials,Industrial Machinery,Glenview,IL,ITW,Industrials,156.15,23.62,1.9089574,4.86,179.07,126.52,55994378108,3924000000.0,3.9286149,10.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW
Lincoln National,"$14,257 ","$2,079.00 ","$281,763 ","9,047",Financials,"Insurance: Life, Health (stock)",Wayne,PA,LNC,Financials,73.86,9.49,1.6813145,9.24,86.68,61.45,17123031000,0.0,1.2019440000000001,1.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNC
CBRE Group,"$14,210 ",$691.50 ,"$11,484 ","80,000",Financials,Real estate,Los Angeles,CA,CBG,Real Estate,41.92,15.82,0.0,1.69,46.6,30.43,14440591731,1652961000.0,1.4622321000000003,3.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG
